timestamp,event,label
1779448952.0716188,baseline_open_start,-1
1779448982.0930252,baseline_open_end,-1
1779448984.074062,baseline_closed_start,-1
1779449014.0942695,baseline_closed_end,-1
1779449016.1136806,cue_on,2
1779449018.1465585,mi_start,2
1779449023.162926,mi_end,2
1779449027.1978948,cue_on,0
1779449029.2132013,mi_start,0
1779449034.230073,mi_end,0
1779449038.2649028,cue_on,1
1779449040.280589,mi_start,1
1779449045.298336,mi_end,1
1779449049.3322742,cue_on,2
1779449051.3488193,mi_start,2
1779449056.365253,mi_end,2
1779449060.399385,cue_on,1
1779449062.4151917,mi_start,1
1779449067.4320292,mi_end,1
1779449071.466941,cue_on,0
1779449073.4827533,mi_start,0
1779449078.4996824,mi_end,0
1779449082.5338795,cue_on,1
1779449084.550603,mi_start,1
1779449089.5669389,mi_end,1
1779449093.6004303,cue_on,0
1779449095.617012,mi_start,0
1779449100.6341238,mi_end,0
1779449104.6684418,cue_on,1
1779449106.684818,mi_start,1
1779449111.701271,mi_end,1
1779449115.7357996,cue_on,1
1779449117.7527988,mi_start,1
1779449122.7689643,mi_end,1
1779449126.8028827,cue_on,3
1779449128.8185427,mi_start,3
1779449133.8366303,mi_end,3
1779449137.8695655,cue_on,1
1779449139.8869987,mi_start,1
1779449144.9037037,mi_end,1
1779449148.9377751,cue_on,2
1779449150.9543295,mi_start,2
1779449155.9708357,mi_end,2
1779449160.0052612,cue_on,3
1779449162.02139,mi_start,3
1779449167.0387259,mi_end,3
1779449171.071748,cue_on,1
1779449173.0891447,mi_start,1
1779449178.105885,mi_end,1
1779449182.1396682,cue_on,0
1779449184.1561687,mi_start,0
1779449189.1723406,mi_end,0
1779449193.20737,cue_on,0
1779449195.2232065,mi_start,0
1779449200.2402058,mi_end,0
1779449204.273739,cue_on,2
1779449206.29029,mi_start,2
1779449211.3078153,mi_end,2
1779449215.341194,cue_on,0
1779449217.358164,mi_start,0
1779449222.3746767,mi_end,0
1779449226.408624,cue_on,3
1779449228.4253912,mi_start,3
1779449233.4410374,mi_end,3
1779449237.4766433,cue_on,3
1779449239.4922473,mi_start,3
1779449244.5087788,mi_end,3
1779449248.5433354,cue_on,2
1779449250.5601084,mi_start,2
1779449255.5763483,mi_end,2
1779449259.6109216,cue_on,3
1779449261.62686,mi_start,3
1779449266.6438837,mi_end,3
1779449270.677699,cue_on,0
1779449272.6942704,mi_start,0
1779449277.711682,mi_end,0
1779449281.744447,cue_on,0
1779449283.761891,mi_start,0
1779449288.7784445,mi_end,0
1779449292.8119617,cue_on,3
1779449294.8286495,mi_start,3
1779449299.862201,mi_end,3
1779449303.8957095,cue_on,2
1779449305.9121485,mi_start,2
1779449310.9304776,mi_end,2
1779449314.9639375,cue_on,1
1779449316.9799917,mi_start,1
1779449321.9968903,mi_end,1
1779449326.0299993,cue_on,1
1779449328.0478513,mi_start,1
1779449333.0646515,mi_end,1
1779449337.0977554,cue_on,1
1779449339.1153698,mi_start,1
1779449344.1313589,mi_end,1
1779449348.1651497,cue_on,2
1779449350.1821668,mi_start,2
1779449355.1993802,mi_end,2
1779449359.2328315,cue_on,3
1779449361.2494483,mi_start,3
1779449366.2658827,mi_end,3
1779449370.300101,cue_on,2
1779449372.3165245,mi_start,2
1779449377.3340962,mi_end,2
1779449381.3676224,cue_on,2
1779449383.3843544,mi_start,2
1779449388.4013774,mi_end,2
1779449392.4345267,cue_on,0
1779449394.4517345,mi_start,0
1779449399.46849,mi_end,0
1779449403.5022984,cue_on,2
1779449405.5192337,mi_start,2
1779449410.5358744,mi_end,2
1779449414.5697243,cue_on,3
1779449416.585717,mi_start,3
1779449421.602696,mi_end,3
1779449425.636633,cue_on,3
1779449427.6525924,mi_start,3
1779449432.6695685,mi_end,3
1779449436.704089,cue_on,3
1779449438.7205563,mi_start,3
1779449443.7365086,mi_end,3
1779449447.7713342,cue_on,0
1779449449.7879758,mi_start,0
1779449454.804166,mi_end,0
