timestamp,event,label
1780400030.5910802,baseline_open_start,-1
1780400045.6132421,baseline_open_end,-1
1780400054.1225712,baseline_closed_start,-1
1780400069.1400418,baseline_closed_end,-1
1780400071.1600287,cue_on,0
1780400073.1910865,mi_start,0
1780400078.2243156,mi_end,0
1780400082.2673578,cue_on,0
1780400084.2977784,mi_start,0
1780400089.3295665,mi_end,0
1780400093.3575537,cue_on,0
1780400095.371415,mi_start,0
1780400100.385592,mi_end,0
1780400104.4125135,cue_on,3
1780400106.445873,mi_start,3
1780400111.4586043,mi_end,3
1780400115.4854596,cue_on,0
1780400117.499655,mi_start,0
1780400122.514532,mi_end,0
1780400126.543889,cue_on,0
1780400128.5568256,mi_start,0
1780400133.5708568,mi_end,0
1780400137.5989165,cue_on,0
1780400139.6118994,mi_start,0
1780400144.628102,mi_end,0
1780400148.655121,cue_on,0
1780400150.6696923,mi_start,0
1780400155.6834762,mi_end,0
1780400159.712475,cue_on,1
1780400161.7429323,mi_start,1
1780400166.756662,mi_end,1
1780400170.7835667,cue_on,0
1780400172.7978377,mi_start,0
1780400177.8146224,mi_end,0
1780400181.8409927,cue_on,0
1780400183.8539288,mi_start,0
1780400188.8693285,mi_end,0
1780400192.897358,cue_on,2
1780400194.928298,mi_start,2
1780400199.9433694,mi_end,2
1780400203.9686136,cue_on,0
1780400205.9835277,mi_start,0
1780400210.9986587,mi_end,0
1780400215.0246892,cue_on,2
1780400217.039676,mi_start,2
1780400222.0571492,mi_end,2
1780400226.0824075,cue_on,0
1780400228.0960705,mi_start,0
1780400233.1110797,mi_end,0
1780400237.1389282,cue_on,0
1780400239.1520636,mi_start,0
1780400244.168507,mi_end,0
1780400248.1953938,cue_on,3
1780400250.2093372,mi_start,3
1780400255.224873,mi_end,3
1780400259.251665,cue_on,3
1780400261.264914,mi_start,3
1780400266.2813973,mi_end,3
1780400270.3070016,cue_on,1
1780400272.3222466,mi_start,1
1780400277.337287,mi_end,1
1780400281.3645592,cue_on,3
1780400283.3786755,mi_start,3
1780400288.393441,mi_end,3
1780400292.4198968,cue_on,2
1780400294.4341826,mi_start,2
1780400299.4512346,mi_end,2
1780400303.4764981,cue_on,3
1780400305.490621,mi_start,3
1780400310.5070853,mi_end,3
1780400314.5336292,cue_on,0
1780400316.5478787,mi_start,0
1780400321.5620813,mi_end,0
1780400325.5907502,cue_on,3
1780400327.603733,mi_start,3
1780400332.619691,mi_end,3
1780400336.64652,cue_on,0
1780400338.679194,mi_start,0
1780400343.6918855,mi_end,0
1780400347.7173917,cue_on,2
1780400349.7323945,mi_start,2
1780400354.748957,mi_end,2
1780400358.7739086,cue_on,2
1780400360.7897983,mi_start,2
1780400365.8051379,mi_end,2
1780400369.8314934,cue_on,3
1780400371.86386,mi_start,3
1780400376.8771107,mi_end,3
1780400380.9050424,cue_on,0
1780400382.9359505,mi_start,0
1780400387.9507787,mi_end,0
1780400391.9779096,cue_on,3
1780400394.0089667,mi_start,3
1780400399.023909,mi_end,3
1780400403.0510366,cue_on,1
1780400405.0835059,mi_start,1
1780400410.0958486,mi_end,1
1780400414.1242604,cue_on,0
1780400416.156275,mi_start,0
1780400421.1691625,mi_end,0
1780400425.19796,cue_on,1
1780400427.229553,mi_start,1
1780400432.2419064,mi_end,1
1780400436.2699583,cue_on,1
1780400438.283575,mi_start,1
1780400443.2988513,mi_end,1
1780400447.3264813,cue_on,0
1780400449.3388815,mi_start,0
1780400454.356552,mi_end,0
1780400458.3818724,cue_on,3
1780400460.3963318,mi_start,3
1780400465.411901,mi_end,3
1780400469.438537,cue_on,3
1780400471.4522731,mi_start,3
1780400476.4683573,mi_end,3
1780400480.4954245,cue_on,0
1780400482.5085006,mi_start,0
1780400487.523643,mi_end,0
1780400491.5515494,cue_on,0
1780400493.565035,mi_start,0
1780400498.579373,mi_end,0
1780400502.6080482,cue_on,0
1780400504.621184,mi_start,0
1780400509.6366715,mi_end,0
