ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-1894.220935609452,-1896.9031449440893,-1964.9642068104995,-1947.2392734574407,-14238.329438964063,1593.1205860520108,1541.085724960056,-11197.352254075082,1780398645.1230323
6962.881322250524,4344.799142455953,6860.398573922941,6846.093457471545,2366.759165139099,2314.389027880314,7052.914148916501,5028.203729176967,1780398645.1270323
-3771.990987299799,-3779.165897269952,-3913.29871574625,-3878.4746978848816,-27396.33201316977,3174.171230098156,3069.9673974475145,-22077.935585729552,1780398645.130963
13379.441306524432,8796.149050730355,13061.420686414323,13147.519606056168,5133.458093817008,4580.677101692808,13557.49530285541,10212.154413718512,1780398645.1350183
-3775.410804201461,-3782.1833827714186,-3916.047980314253,-3881.0227967527862,-27399.014222504407,3179.7368144675274,3075.689444028073,-22080.729553786463,1780398645.1390462
14439.651601273014,8772.858533007924,14139.624135449429,14209.205115938796,4907.347846907121,4637.785808776118,14617.929115048542,10177.933892957435,1780398645.1420434
-3775.813135601656,-3782.719824638346,-3916.4726634589033,-3881.559238619714,-27399.505960882423,3180.228552845544,3076.1364789171794,-22081.3106991423,1780398645.1458237
13510.690749965996,8720.041360860034,13269.336613337591,13277.5844070416,4900.3070474037,4593.417596032333,13691.046975975867,10115.326656738122,1780398645.149896
-3772.996815800288,-3780.238781003807,-3914.237489013373,-3879.4805263853705,-27397.583710859268,3175.087651620824,3070.973225948004,-22079.00846946341,1780398645.1539574
13980.14443876081,8805.715597357226,13641.873138174196,13749.943822615603,5139.895396220136,4617.490424810699,14157.594937991493,10230.30403021622,1780398645.1578593
-3776.170763512941,-3782.8315833606234,-3916.5620704367248,-3881.425128152982,-27399.505960882423,3181.592009257318,3077.589342306774,-22081.288347397847,1780398645.1619768
14222.280886445153,8718.834366659446,13978.915092815769,13989.889799343324,4751.802057242639,4635.215358163758,14401.407766509985,10105.067206033136,1780398645.1669285
-3774.315568723151,-3781.535182182215,-3915.5338901917808,-3880.709872330412,-27398.924815526585,3176.339349310321,3072.247275381956,-22080.50603634191,1780398645.1701262
13359.481198725844,8796.171402474809,13040.544157093069,13127.671256979856,5134.978012439968,4579.738328425686,13537.423436334544,10213.339056174644,1780398645.1740446
-3774.136754767508,-3780.909333337466,-3914.751579135845,-3879.592285107647,-27397.918987026096,3178.172192355656,3074.1695254051124,-22079.634318308155,1780398645.178307
14430.062702901689,8772.612663818916,14129.789367889092,14199.973845478757,4929.677239617973,4640.758590788673,14608.295513188305,10177.464506323877,1780398645.1819475
-3776.751908868779,-3783.569190927648,-3917.500843703848,-3882.207439208918,-27400.556492871823,3180.966160412569,3076.8740864842043,-22082.38358287616,1780398645.1859722
13496.407985259057,8721.650686460816,13255.567938753122,13263.14518012347,4901.022303226269,4594.177555343814,13676.361879868731,10114.924325337926,1780398645.1900282
-3773.108574522564,-3780.305836237173,-3914.3715994801046,-3879.279360685272,-27397.829580048277,3175.1100033652788,3070.9955776924585,-22079.410800863603,1780398645.194908
13955.959851260168,8805.939114801778,13616.12392856168,13725.602772903774,5140.387134598152,4618.2056806332685,14133.23153653521,10232.650963384029,1780398645.1980386
-3777.042481546698,-3783.546839183192,-3917.25497451484,-3882.118032231097,-27400.48943763845,3182.240209846522,3078.237542895978,-22082.338879387247,1780398645.20209
14220.649209099916,8717.940296881236,13977.372822448351,13988.503991187095,4749.030440930181,4639.037506465615,14399.843144398112,10108.598781657074,1780398645.2061267
-3774.807307101167,-3781.870458349045,-3915.958573336432,-3881.089851986153,-27399.573016115788,3176.4064045436867,3072.3590341042323,-22081.17658867557,1780398645.2102067
13338.78348336023,8791.566943117017,13021.366360350414,13106.951189869786,5126.841977458236,4578.62074120292,13516.971590157938,10215.484823642351,1780398645.214087
-3778.227124002829,-3784.865592106056,-3918.707837904434,-3883.705006087424,-27402.210521961515,3182.0837476353345,3077.9022667291483,-22083.836446265752,1780398645.218114
14409.56615323617,8772.88088475238,14108.152879256357,14179.18672313532,4940.5178356787965,4638.836340765517,14587.709556544967,10181.91250347048,1780398645.22312
-3778.98708331431,-3785.737310139813,-3919.646611171557,-3884.53202063227,-27403.104591739728,3183.156631369189,3078.975150463003,-22084.864626510695,1780398645.2260954
13487.534342710298,8716.755654425104,13246.850758415552,13253.95861315234,4899.614143325584,4590.28835180859,13667.577644297797,10116.600706172074,1780398645.230132
-3773.265036733751,-3780.372891470539,-3914.483358202381,-3879.5252298742807,-27398.23191144847,3174.998244643002,3070.839115481272,-22079.72372528597,1780398645.2341
13938.503138840571,8805.469728168217,13597.437870197044,13707.676673850618,5148.7243352799815,4611.589564274498,14115.84187934898,10234.483806429364,1780398645.2381365
-3775.835487346112,-3782.3845484715166,-3916.0926838031633,-3880.843982797144,-27399.55066437133,3180.7649947124714,3076.5835138062853,-22081.37775437567,1780398645.243146
14211.19442119532,8716.308619535997,13969.214435722166,13978.468057926662,4766.509505094231,4635.103599441481,14390.254246026783,10108.442319445889,1780398645.2460794
-3771.70041462188,-3778.785917614212,-3912.941087834965,-3878.00531125132,-27396.80139980333,3173.3218638088542,3069.140382902668,-22078.44967585202,1780398645.250141
13319.940962784403,8792.639826850871,13000.847458940443,13087.460468704758,5131.625250771672,4575.759717912641,13497.81614515974,10214.635457353052,1780398645.254433
-3771.611007644058,-3778.383586214016,-3912.337590734672,-3877.0218344952864,-27395.95203351403,3175.557038254385,3071.487316070475,-22077.66736479609,1780398645.2581394
14389.114307059564,8776.635977820872,14086.426983645795,14158.220786836242,4972.726699438894,4638.545768087598,14566.654213268068,10180.72786101435,1780398645.262099
-3775.768432112746,-3782.608065916069,-3916.5620704367248,-3881.358072919616,-27400.154161471623,3179.8932766787148,3075.8012027503496,-22081.98125147596,1780398645.266158
13464.623804643608,8725.428131273762,13227.13651980597,13230.869261130008,4905.82792828416,4591.785918687096,13643.862443430717,10115.058435804658,1780398645.2692974
-3776.46133619086,-3783.591542672103,-3917.6573059150346,-3882.699177586935,-27401.62937660568,3178.0604336333795,3073.8789527271933,-22083.300004398825,1780398645.2730665
13927.70724626866,8813.963391061234,13583.3562711902,13696.590208600785,5155.742783038948,4616.395189332389,14104.040158276575,10235.824911096684,1780398645.278116
-3778.830621103122,-3785.4467374618935,-3919.311335004728,-3883.973227020887,-27402.94812952854,3183.849535447304,3079.7574615189387,-22084.75286778842,1780398645.2821686
14213.831927041048,8727.752712697114,13971.516665401065,13980.77028760556,4777.663025577429,4637.58464307602,14391.908275116475,10110.431624702407,1780398645.2861743
-3773.332091967117,-3780.484650192816,-3914.818634369211,-3879.659340341013,-27398.7683533154,3175.1323551097344,3071.0626329258243,-22080.461332853,1780398645.290139
13310.4414713909,8794.897353040857,12993.24786582564,13078.54212266709,5136.319117107287,4573.457488233744,13488.42841248851,10215.976562020369,1780398645.2931619
-3774.494382678793,-3781.2893129932063,-3915.288021002773,-3879.972264763387,-27399.170684715595,3178.3733580557537,3074.348339360755,-22080.93071948656,1780398645.2971306
14389.159010548474,8779.854629022435,14086.44933539025,14158.779580447625,4978.091118108167,4632.7566662736735,14566.631861523612,10182.53835231523,1780398645.3011782
-3776.5060396797703,-3783.4574322053713,-3917.4114367260254,-3882.1627357200073,-27401.27174869439,3180.519125523463,3076.382348106188,-22083.098838698726,1780398645.3061373
13465.853150588651,8729.183224342254,13226.220098283304,13232.769159408708,4907.124329462567,4586.600313973465,13645.091789375758,10114.946677082382,1780398645.3103218
-3774.9414175678994,-3782.1163275380527,-3916.3832564810814,-3881.223962452884,-27400.556492871823,3176.3840527992315,3072.247275381956,-22082.00360322041,1780398645.3141754
13897.912370909737,8816.64560039587,13557.897634255603,13668.628176287197,5161.30836740832,4606.828642705517,14075.765201540617,10236.964850063903,1780398645.3180325
-3776.729557124324,-3783.591542672103,-3917.523195448303,-3882.0509769977302,-27401.27174869439,3181.8602301907817,3077.812859751328,-22083.16589393209,1780398645.322145
14195.436441354328,8725.495186507129,13951.400095391286,13964.229996708633,4789.285932694189,4631.527320328632,14375.613853408558,10111.81743285864,1780398645.3252077
-3776.707205379869,-3784.195039772396,-3918.417265226515,-3883.257971198317,-27402.5681498728,3178.3733580557537,3074.303635871844,-22084.261129410403,1780398645.3292081
13279.663119275943,8801.289951955076,12962.7600863886,13048.411971141337,5134.352163595219,4572.451659733255,13458.231205729391,10216.289486442744,1780398645.3342338
-3776.394280957494,-3783.4127287164606,-3917.500843703848,-3882.118032231097,-27401.47291439449,3180.005035400991,3075.912961472626,-22083.23294916546,1780398645.3383722
14369.22125449434,8783.117983712911,14066.779800269582,14139.55708021606,4995.704292738949,4637.517587842654,14547.49876826987,10182.448945337408,1780398645.3422542
-3776.215467001852,-3783.300969994184,-3917.389084981571,-3881.916866530999,-27401.33880392776,3180.0497388899016,3075.980016705992,-22083.16589393209,1780398645.3461761
13455.817217328218,8731.597212743427,13218.128766790482,13223.023798826194,4906.096149217624,4594.713997210741,13636.17344333809,10114.700807893374,1780398645.3502278
-3772.683891377914,-3780.104670537075,-3914.3045442467383,-3879.1899537074514,-27398.67894633757,3174.193581842612,3070.079156169791,-22080.28251889736,1780398645.353248
13874.84537063186,8821.048894053567,13533.511881054865,13644.980030653482,5166.0692889773,4616.462244565755,14052.295869862544,10238.350658220132,1780398645.357257
-3773.3097402226617,-3780.283484492717,-3914.3045442467383,-3878.787622307256,-27398.23191144847,3178.4404132891195,3074.4153945941207,-22080.193111919536,1780398645.3621426
14184.28292087113,8726.568070240983,13940.447740608186,13952.718848314147,4804.909802068449,4636.48940759771,14363.901539313978,10113.80673811516,1780398645.3662438
