timestamp,event,label
1780426309.000549,baseline_open_start,-1
1780426324.021983,baseline_open_end,-1
1780426327.591123,baseline_closed_start,-1
1780426342.6046674,baseline_closed_end,-1
1780426344.6218138,cue_on,0
1780426346.6524153,mi_start,0
1780426351.668798,mi_end,0
1780426355.7046795,cue_on,1
1780426357.7206717,mi_start,1
1780426362.735793,mi_end,1
1780426366.7697413,cue_on,3
1780426368.7873027,mi_start,3
1780426373.8058968,mi_end,3
1780426377.8359702,cue_on,0
1780426379.8531516,mi_start,0
1780426384.8697858,mi_end,0
1780426388.9049077,cue_on,1
1780426390.9214764,mi_start,1
1780426395.936924,mi_end,1
1780426399.970784,cue_on,1
1780426401.98677,mi_start,1
1780426407.002768,mi_end,1
1780426411.0360415,cue_on,3
1780426413.05255,mi_start,3
1780426418.06947,mi_end,3
1780426422.1042075,cue_on,0
1780426424.1197343,mi_start,0
1780426429.1372626,mi_end,0
1780426437.199121,cue_on,3
1780426439.2145581,mi_start,3
1780426444.23225,mi_end,3
1780426448.2657344,cue_on,0
1780426450.281869,mi_start,0
1780426455.2992098,mi_end,0
1780426463.3602543,cue_on,0
1780426465.3790543,mi_start,0
1780426470.3942738,mi_end,0
1780426474.4282036,cue_on,2
1780426476.44446,mi_start,2
1780426481.4623365,mi_end,2
1780426485.4940794,cue_on,0
1780426487.5132236,mi_start,0
1780426492.5292568,mi_end,0
1780426496.5615327,cue_on,2
1780426498.5801444,mi_start,2
1780426503.59443,mi_end,2
1780426507.6297162,cue_on,0
1780426509.6455069,mi_start,0
1780426514.661269,mi_end,0
1780426518.69424,cue_on,1
1780426520.7115724,mi_start,1
1780426525.727802,mi_end,1
1780426529.7611072,cue_on,0
1780426531.7783604,mi_start,0
1780426536.7955947,mi_end,0
1780426540.8278158,cue_on,3
1780426542.8444679,mi_start,3
1780426547.8608773,mi_end,3
1780426551.8967288,cue_on,3
1780426553.9131255,mi_start,3
1780426558.932989,mi_end,3
1780426562.9612997,cue_on,3
1780426564.978334,mi_start,3
1780426569.9969287,mi_end,3
1780426574.0290308,cue_on,3
1780426576.045718,mi_start,3
1780426581.0620008,mi_end,3
1780426585.0956352,cue_on,0
1780426587.112031,mi_start,0
1780426592.1283545,mi_end,0
1780426596.162161,cue_on,1
1780426598.1789284,mi_start,1
1780426603.1979566,mi_end,1
1780426607.2311423,cue_on,0
1780426609.2498634,mi_start,0
1780426614.2634552,mi_end,0
1780426618.29589,cue_on,3
1780426620.3116035,mi_start,3
1780426625.3308976,mi_end,3
1780426629.3646884,cue_on,2
1780426631.3811386,mi_start,2
1780426636.3955479,mi_end,2
1780426640.4318352,cue_on,0
1780426642.4456499,mi_start,0
1780426647.4617465,mi_end,0
1780426651.497645,cue_on,0
1780426653.5118515,mi_start,0
1780426658.53113,mi_end,0
1780426662.5629983,cue_on,0
1780426664.5847986,mi_start,0
1780426669.5958679,mi_end,0
1780426673.6295283,cue_on,0
1780426675.6469293,mi_start,0
1780426680.662197,mi_end,0
1780426684.6980321,cue_on,3
1780426686.7125723,mi_start,3
1780426691.729299,mi_end,3
1780426695.7628334,cue_on,0
1780426697.7791488,mi_start,0
1780426702.797458,mi_end,0
1780426706.8299904,cue_on,0
1780426708.8468025,mi_start,0
1780426713.8630981,mi_end,0
1780426717.8970573,cue_on,0
1780426719.91466,mi_start,0
1780426724.929297,mi_end,0
1780426728.9660845,cue_on,2
1780426730.9795206,mi_start,2
1780426735.9958332,mi_end,2
1780426740.0299585,cue_on,0
1780426742.0461338,mi_start,0
1780426747.0635803,mi_end,0
1780426751.096651,cue_on,3
1780426753.1135368,mi_start,3
1780426758.1313932,mi_end,3
1780426762.162831,cue_on,0
1780426764.1801515,mi_start,0
1780426769.1966467,mi_end,0
