timestamp,event,label
1780399477.1412315,baseline_open_start,-1
1780399492.1642003,baseline_open_end,-1
1780399503.3904867,baseline_closed_start,-1
1780399518.405087,baseline_closed_end,-1
1780399520.4245307,cue_on,0
1780399522.4549816,mi_start,0
1780399527.4890108,mi_end,0
1780399531.5323076,cue_on,0
1780399533.5457492,mi_start,0
1780399538.5611405,mi_end,0
1780399542.5879796,cue_on,3
1780399544.601211,mi_start,3
1780399549.6176865,mi_end,3
1780399553.644777,cue_on,3
1780399555.6579833,mi_start,3
1780399560.675034,mi_end,3
1780399564.7020254,cue_on,0
1780399566.732107,mi_start,0
1780399571.7457027,mi_end,0
1780399575.7742667,cue_on,0
1780399577.7873151,mi_start,0
1780399582.8022351,mi_end,0
1780399586.8308153,cue_on,0
1780399588.8436997,mi_start,0
1780399593.8589277,mi_end,0
1780399597.8864753,cue_on,0
1780399599.9022636,mi_start,0
1780399604.9158764,mi_end,0
1780399608.9436657,cue_on,0
1780399610.9580176,mi_start,0
1780399615.9711337,mi_end,0
1780399619.9989753,cue_on,1
1780399622.0300033,mi_start,1
1780399627.044888,mi_end,1
1780399631.072119,cue_on,2
1780399633.1032012,mi_start,2
1780399638.1180832,mi_end,2
1780399642.1450348,cue_on,2
1780399644.1603136,mi_start,2
1780399649.1746554,mi_end,2
1780399653.2039554,cue_on,0
1780399655.235139,mi_start,0
1780399660.2474515,mi_end,0
1780399664.2753246,cue_on,0
1780399666.2882094,mi_start,0
1780399671.3030972,mi_end,0
1780399675.3312263,cue_on,0
1780399677.3443036,mi_start,0
1780399682.3594413,mi_end,0
1780399686.3886251,cue_on,0
1780399688.401011,mi_start,0
1780399693.4177148,mi_end,0
1780399697.4439332,cue_on,3
1780399699.4577718,mi_start,3
1780399704.4741204,mi_end,3
1780399708.4991217,cue_on,2
1780399710.5131712,mi_start,2
1780399715.5297472,mi_end,2
1780399719.555512,cue_on,1
1780399721.570326,mi_start,1
1780399726.5842264,mi_end,1
1780399730.6117778,cue_on,3
1780399732.6261625,mi_start,3
1780399737.643287,mi_end,3
1780399741.6689272,cue_on,0
1780399743.6831641,mi_start,0
1780399748.6972036,mi_end,0
1780399752.7262933,cue_on,1
1780399754.758017,mi_start,1
1780399759.7711568,mi_end,1
1780399763.7990215,cue_on,3
1780399765.830109,mi_start,3
1780399770.8431792,mi_end,3
1780399774.8710675,cue_on,0
1780399776.9013638,mi_start,0
1780399781.9177303,mi_end,0
1780399785.9446068,cue_on,0
1780399787.9578462,mi_start,0
1780399792.97323,mi_end,0
1780399796.9997816,cue_on,3
1780399799.014618,mi_start,3
1780399804.029939,mi_end,3
1780399808.0568392,cue_on,0
1780399810.0701687,mi_start,0
1780399815.0870693,mi_end,0
1780399819.1140983,cue_on,2
1780399821.1450496,mi_start,2
1780399826.1604888,mi_end,2
1780399830.1863286,cue_on,1
1780399832.1994648,mi_start,1
1780399837.2174468,mi_end,1
1780399841.2595646,cue_on,3
1780399843.2901201,mi_start,3
1780399848.305038,mi_end,3
1780399852.3324676,cue_on,0
1780399854.3632631,mi_start,0
1780399859.378502,mi_end,0
1780399863.406146,cue_on,3
1780399865.43671,mi_start,3
1780399870.4526496,mi_end,3
1780399874.4780958,cue_on,0
1780399876.4931133,mi_start,0
1780399881.5072532,mi_end,0
1780399885.5344012,cue_on,3
1780399887.565339,mi_start,3
1780399892.580364,mi_end,3
1780399896.6081579,cue_on,2
1780399898.6402037,mi_start,2
1780399903.6531484,mi_end,2
1780399907.6819909,cue_on,0
1780399909.7123218,mi_start,0
1780399914.7256706,mi_end,0
1780399918.7529857,cue_on,1
1780399920.7676904,mi_start,1
1780399925.7822971,mi_end,1
1780399929.8089492,cue_on,3
1780399931.8231704,mi_start,3
1780399936.8394263,mi_end,3
1780399940.8661141,cue_on,0
1780399942.8796046,mi_start,0
1780399947.8952842,mi_end,0
1780399951.923286,cue_on,0
1780399953.937628,mi_start,0
1780399958.9508958,mi_end,0
