timestamp,event,label
1779899903.9129326,baseline_open_start,-1
1779899933.937571,baseline_open_end,-1
1779899935.98437,baseline_closed_start,-1
1779899965.990341,baseline_closed_end,-1
1779899968.012039,cue_on,0
1779899970.062037,mi_start,0
1779899975.0914752,mi_end,0
1779899979.135702,cue_on,2
1779899981.184572,mi_start,2
1779899986.216093,mi_end,2
1779899990.2769656,cue_on,0
1779899992.3068786,mi_start,0
1779899997.3203852,mi_end,0
1779900001.348432,cue_on,0
1779900003.36198,mi_start,0
1779900008.376575,mi_end,0
1779900012.4057448,cue_on,0
1779900014.4193833,mi_start,0
1779900019.4340086,mi_end,0
1779900023.4617696,cue_on,2
1779900025.4939525,mi_start,2
1779900030.5247147,mi_end,2
1779900034.5510287,cue_on,2
1779900036.5648663,mi_start,2
1779900041.579404,mi_end,2
1779900045.608102,cue_on,3
1779900047.6371737,mi_start,3
1779900052.651872,mi_end,3
1779900056.6803908,cue_on,1
1779900058.713306,mi_start,1
1779900063.7427506,mi_end,1
1779900067.7694938,cue_on,2
1779900069.7829216,mi_start,2
1779900074.7979653,mi_end,2
1779900078.8268647,cue_on,1
1779900080.856856,mi_start,1
1779900085.8710265,mi_end,1
1779900089.899043,cue_on,0
1779900091.929195,mi_start,0
1779900096.945864,mi_end,0
1779900100.971779,cue_on,3
1779900103.0027754,mi_start,3
1779900108.0172668,mi_end,3
1779900112.0443432,cue_on,1
1779900114.0791357,mi_start,1
1779900119.0893588,mi_end,1
1779900123.1182258,cue_on,3
1779900125.1509423,mi_start,3
1779900130.162939,mi_end,3
1779900134.1906452,cue_on,3
1779900136.204931,mi_start,3
1779900141.2200377,mi_end,3
1779900145.2462585,cue_on,1
1779900147.2785206,mi_start,1
1779900152.2930984,mi_end,1
1779900156.3203518,cue_on,0
1779900158.3505204,mi_start,0
1779900163.36456,mi_end,0
1779900167.3933096,cue_on,1
1779900169.42394,mi_start,1
1779900174.4394236,mi_end,1
1779900178.4673426,cue_on,2
1779900180.4968865,mi_start,2
1779900185.5120225,mi_end,2
1779900189.5398943,cue_on,1
1779900191.5718956,mi_start,1
1779900196.5832994,mi_end,1
1779900200.6121647,cue_on,0
1779900202.6438527,mi_start,0
1779900207.657907,mi_end,0
1779900211.6848142,cue_on,2
1779900213.7164888,mi_start,2
1779900218.7299232,mi_end,2
1779900222.7574575,cue_on,2
1779900224.771711,mi_start,2
1779900229.7869084,mi_end,2
1779900237.837778,cue_on,2
1779900239.871218,mi_start,2
1779900244.8842702,mi_end,2
1779900248.9109979,cue_on,3
1779900250.9423585,mi_start,3
1779900255.956206,mi_end,3
1779900259.9857569,cue_on,1
1779900262.0145073,mi_start,1
1779900267.030636,mi_end,1
1779900271.0572376,cue_on,3
1779900273.070117,mi_start,3
1779900278.085999,mi_end,3
1779900282.112937,cue_on,1
1779900284.1449554,mi_start,1
1779900289.158113,mi_end,1
1779900293.1855452,cue_on,2
1779900295.2171092,mi_start,2
1779900300.232056,mi_end,2
1779900304.259622,cue_on,0
1779900306.2903929,mi_start,0
1779900311.303652,mi_end,0
1779900315.3319438,cue_on,0
1779900317.346951,mi_start,0
1779900322.3610806,mi_end,0
1779900326.3884068,cue_on,3
1779900328.420056,mi_start,3
1779900333.4330683,mi_end,3
1779900337.4613452,cue_on,2
1779900339.4920573,mi_start,2
1779900344.5074582,mi_end,2
1779900348.534852,cue_on,1
1779900350.565871,mi_start,1
1779900355.5788796,mi_end,1
1779900359.607744,cue_on,0
1779900361.619848,mi_start,0
1779900366.6355479,mi_end,0
1779900370.664349,cue_on,3
1779900372.695492,mi_start,3
1779900377.7096918,mi_end,3
1779900381.7365494,cue_on,3
1779900383.7505796,mi_start,3
1779900388.764109,mi_end,3
1779900392.7926295,cue_on,3
1779900394.8071678,mi_start,3
1779900399.8211932,mi_end,3
